sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_crownnight,illumination,1,4,1->4,7698,6202,718,692,618,7698,0.8930635838150289,0.08028059236165237,39.103547646261674,0.8827071290944124,0.8930635838150289,0.7702312138728323,0.8728323699421965,0.8930635838150289,0.9132947976878613,0.9234104046242775,0.9234104046242775,0.4162152999997488,0.6834564000018872,0.44172579999940353,1.5413975000010396
i_crownnight,illumination,1,5,1->5,7698,4597,537,515,461,7698,0.8951456310679612,0.059885684593400886,49.39908740887251,0.8705501618122978,0.8951456310679612,0.7339805825242719,0.8640776699029126,0.8951456310679612,0.9029126213592233,0.912621359223301,0.9145631067961165,0.4162152999997488,0.566179599998577,0.32699829999910435,1.3093931999974302
i_crownnight,illumination,1,6,1->6,7698,1237,91,51,1,7698,0.0196078431372549,0.00012990387113535984,609.3039465006889,0.016339869281045753,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.4162152999997488,0.4937212000004365,0.10045660000105272,1.010393100001238
i_dc,illumination,1,2,1->2,18451,15687,943,818,639,18451,0.7811735941320294,0.034632269253698986,129.1851240557919,0.7681336593317033,0.7811735941320294,0.6540342298288508,0.7689486552567237,0.7811735941320294,0.793398533007335,0.80440097799511,0.8068459657701712,1.5901454000013473,1.290989000000991,2.7000299999999697,5.581164400002308
i_dc,illumination,1,3,1->3,18451,25684,1028,913,742,18451,0.8127053669222344,0.04021462251368489,99.62503302280723,0.7183278568820737,0.8127053669222344,0.2059145673603505,0.7831325301204819,0.8127053669222344,0.823658269441402,0.8400876232201533,0.8444687842278203,1.5901454000013473,1.654603599999973,5.92426489999707,9.16901389999839
i_dc,illumination,1,4,1->4,18451,39689,1076,990,780,18451,0.7878787878787878,0.04227413148338843,81.35800308771267,0.6562289562289562,0.7878787878787878,0.026262626262626262,0.6626262626262627,0.7878787878787878,0.8080808080808081,0.8232323232323232,0.8292929292929293,1.5901454000013473,1.6289500999992015,18.750214899999264,21.969310399999813
i_dc,illumination,1,5,1->5,18451,43337,1090,986,771,18451,0.781947261663286,0.041786353043195494,100.19268098494854,0.582657200811359,0.781947261663286,0.0030425963488843813,0.23529411764705882,0.781947261663286,0.8144016227180527,0.8286004056795132,0.8326572008113591,1.5901454000013473,2.111606099999335,18.220961499999248,21.92271299999993
i_dc,illumination,1,6,1->6,18451,43524,1353,1219,963,18451,0.7899917965545529,0.05219229310064495,73.03950367792311,0.5824446267432322,0.7899917965545529,0.003281378178835111,0.11156685808039377,0.7899917965545529,0.8539786710418376,0.8646431501230517,0.8712059064807219,1.5901454000013473,2.185200999996596,19.252981599998748,23.02832799999669
i_dome,illumination,1,2,1->2,6573,5470,1854,1748,1633,6573,0.9342105263157895,0.24844059029362545,8.159068838633983,0.9296338672768879,0.9342105263157895,0.8947368421052632,0.9319221967963387,0.9342105263157895,0.9376430205949656,0.9393592677345538,0.9399313501144165,0.35590120000051684,0.30022350000217557,0.33050509999884525,0.9866298000015377
i_dome,illumination,1,3,1->3,6573,6290,114,92,26,6573,0.2826086956521739,0.003955575840559866,187.17257252013948,0.2735507246376812,0.2826086956521739,0.15217391304347827,0.2826086956521739,0.2826086956521739,0.30434782608695654,0.30434782608695654,0.31521739130434784,0.35590120000051684,0.40755499999795575,0.37992229999872507,1.1433784999971977
